ElapsedSeconds,CPU Usage (%),Memory Usage (MB),Network Received (MB),Network Sent (MB),Network Receive Traffic (Mbps),Network Send Traffic (Mbps)
9.5367431640625e-07,1.8,1435.48046875,20670.47249507904,19721.77160549164,173396490936.0,165438211064.0
0.10081291198730469,2.5,1435.48046875,20670.47249507904,19721.77160549164,0.0,0.0
0.2016615867614746,0.0,1435.48046875,20670.47249507904,19721.77160549164,0.0,0.0
0.30249857902526855,2.4,1435.48046875,20670.47249507904,19721.77160549164,0.0,0.0
0.4035367965698242,0.0,1435.48046875,20670.47249507904,19721.77160549164,0.0,0.0
0.5046331882476807,0.0,1435.48046875,20670.47249507904,19721.77160549164,0.0,0.0
0.6059246063232422,0.0,1435.46484375,20670.47249507904,19721.77160549164,0.0,0.0
0.7077682018280029,2.4,1435.46484375,20670.47260951996,19721.77160549164,0.001293541220678469,0.0
0.8090360164642334,0.0,1435.46484375,20670.47260951996,19721.77160549164,0.0,0.0
0.9106824398040771,2.4,1435.46484375,20670.47260951996,19721.77160549164,0.0,0.0
1.011498212814331,0.0,1435.46484375,20670.47260951996,19721.77160549164,0.0,0.0
1.1130783557891846,2.4,1435.46484375,20670.47260951996,19721.77160549164,0.0,0.0
1.214115858078003,2.5,1435.46484375,20670.47260951996,19721.77160549164,0.0,0.0
1.3158299922943115,2.4,1435.46484375,20670.47260951996,19721.77160549164,0.0,0.0
1.4174764156341553,0.0,1435.46484375,20670.47260951996,19721.77160549164,0.0,0.0
1.5191521644592285,0.0,1435.45703125,20670.47260951996,19721.77160549164,0.0,0.0
1.620274543762207,2.4,1435.45703125,20670.47260951996,19721.77160549164,0.0,0.0
1.7218923568725586,0.0,1435.45703125,20670.47260951996,19721.77160549164,0.0,0.0
1.8235676288604736,0.0,1435.45703125,20670.47260951996,19721.77160549164,0.0,0.0
1.9250426292419434,0.0,1435.45703125,20670.47260951996,19721.77160549164,0.0,0.0
2.026416778564453,0.0,1435.45703125,20670.47260951996,19721.77160549164,0.0,0.0
2.1281213760375977,0.0,1435.45703125,20670.47260951996,19721.77160549164,0.0,0.0
2.2297511100769043,0.0,1435.45703125,20670.47260951996,19721.77160549164,0.0,0.0
2.331418752670288,2.4,1435.45703125,20670.47260951996,19721.77160549164,0.0,0.0
2.4331674575805664,0.0,1435.45703125,20670.47260951996,19721.77160549164,0.0,0.0
2.5348634719848633,2.4,1435.46875,20670.47260951996,19721.77160549164,0.0,0.0
2.636472702026367,0.0,1435.46875,20670.472666740417,19721.77160549164,0.00017362731331265721,0.0
2.7375597953796387,0.0,1435.46875,20670.472723960876,19721.77160549164,0.00016721595365609844,0.0
2.839357852935791,0.0,1435.46875,20670.472723960876,19721.77160549164,0.0,0.0
2.941096067428589,0.0,1435.46875,20670.472723960876,19721.77160549164,0.0,0.0
3.042792320251465,2.4,1435.46875,20670.472723960876,19721.77160549164,0.0,0.0
